,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
77,Olafsvik,43,IS,1669580893,75,64.8945,-23.7142,37.09,12.46
78,Ancud,60,CL,1669580894,57,-41.8697,-73.8203,67.35,5.86
79,Bambous Virieux,20,MU,1669580896,83,-20.3428,57.7575,71.85,1.14
80,Souillac,20,MU,1669580898,83,-20.5167,57.5167,71.98,1.14
81,Bosaso,55,SO,1669580899,75,11.2842,49.1816,77.54,2.75
82,Olinda,20,BR,1669580901,65,-8.0089,-34.8553,82.13,10.36
83,Qaanaaq,15,GL,1669580902,70,77.484,-69.3632,-10.25,6.82
84,Srednekolymsk,69,RU,1669580903,99,67.45,153.6833,-39.23,0.96
85,Longyearbyen,0,SJ,1669580905,86,78.2186,15.6401,28.24,2.3
86,Aykhal,100,RU,1669580906,99,66.0,111.5,-11.31,5.12
87,Dunmore East,20,IE,1669580908,76,52.1514,-6.9861,51.69,16.11
88,Nanortalik,100,GL,1669580909,82,60.1432,-45.2371,29.71,6.85
89,East London,100,ZA,1669580911,83,-33.0153,27.9116,64.89,9.35
90,Port Elizabeth,75,ZA,1669580912,94,-33.918,25.5701,64.69,11.5
91,Port Lincoln,59,AU,1669580913,73,-34.7333,135.8667,54.72,9.66
92,Tanout,59,NE,1669580915,19,14.9709,8.8879,71.58,10.33
93,São Bartolomeu de Messines,80,PT,1669580916,82,37.2602,-8.2867,59.41,2.75
94,Tamandaré,28,BR,1669580918,74,-8.7597,-35.1047,79.74,12.21
95,Chokurdakh,91,RU,1669580660,100,70.6333,147.9167,-40.61,1.32
96,Bara,51,NG,1669580920,24,10.3744,10.7288,74.68,7.45
97,Rincon,40,US,1669580914,61,32.296,-81.2354,78.76,18.41
98,Oshikango,47,NA,1669580922,44,-17.4,15.8833,79.81,8.84
99,Assiut,100,EG,1669580924,46,27.181,31.1837,64.47,3.89
100,Keetmanshoop,0,NA,1669580925,10,-26.5833,18.1333,82.53,9.53
101,Aspindza,81,GE,1669580927,85,41.5739,43.2483,38.44,3.27
102,Oktyabr'skoye,100,RU,1669580928,100,43.0645,44.7417,42.94,0.0
103,Saint-Leu,1,RE,1669580717,69,-21.15,55.2833,72.43,4.72
104,Brae,6,GB,1669580931,84,60.3964,-1.353,48.29,14.61
105,Te Anau,100,NZ,1669580932,94,-45.4167,167.7167,44.96,1.39
106,Barrow,100,US,1669580933,85,71.2906,-156.7887,3.22,17.27
107,Pinawa,68,CA,1669580935,71,50.1489,-95.8811,28.36,4.27
108,Berdigestyakh,100,RU,1669580936,100,62.0989,126.6992,-40.38,2.64
109,Itarema,100,BR,1669580938,72,-2.9248,-39.9167,81.19,14.65
110,Røros,100,NO,1669580939,80,62.5747,11.3842,33.64,3.44
111,Auki,59,SB,1669580941,87,-8.7676,160.7034,78.24,4.99
112,Katangli,11,RU,1669580942,91,51.7102,143.2326,7.84,10.56
113,Hithadhoo,100,MV,1669580943,75,-0.6,73.0833,80.78,4.79
114,Nabire,100,ID,1669580945,91,-3.3667,135.4833,75.18,3.89
115,Whitehorse,100,CA,1669580749,79,60.7161,-135.0538,16.57,6.91
116,Kruisfontein,4,ZA,1669580942,94,-34.0033,24.7314,58.19,5.48
117,Juneau,75,US,1669580708,97,58.3019,-134.4197,35.22,0.0
118,Tezu,0,IN,1669580950,32,27.9167,96.1667,60.44,4.52
119,Bonthe,100,SL,1669580951,79,7.5264,-12.505,79.52,7.27
120,Albany,100,US,1669580950,87,42.6001,-73.9662,44.22,1.01
121,Hambantota,87,LK,1669580953,84,6.1241,81.1185,76.68,5.19
122,Kumul,0,CN,1669580955,37,42.8,93.45,8.38,13.33
123,Kieta,100,PG,1669580956,85,-6.2167,155.6333,79.2,3.85
124,Klaksvík,70,FO,1669580957,86,62.2266,-6.589,47.32,32.39
125,Cidreira,95,BR,1669580959,79,-30.1811,-50.2056,72.57,15.03
126,Doka,98,SD,1669580960,31,13.5167,35.7667,81.7,9.78
127,Hobart,20,AU,1669580962,71,-42.8794,147.3294,51.26,12.66
128,Ribeira Grande,75,PT,1669580963,88,38.5167,-28.7,66.6,25.99
129,Meadow Lake,1,US,1669580965,27,34.8014,-106.5436,52.86,12.88
130,Buzdyak,100,RU,1669580966,98,54.5833,54.55,13.1,3.69
131,Jalu,87,LY,1669580968,65,29.0331,21.5482,60.94,4.43
132,Tuatapere,100,NZ,1669580969,76,-46.1333,167.6833,49.35,3.51
133,Ilulissat,98,GL,1669580971,73,69.2167,-51.1,14.02,3.44
134,Zaragoza,0,ES,1669580696,79,41.6561,-0.8773,49.01,1.99
135,Sayville,100,US,1669580973,91,40.7359,-73.0821,55.53,10.36
136,Aksha,100,RU,1669580974,76,50.2814,113.2867,-2.69,16.44
137,Airai,100,TL,1669580976,88,-8.9266,125.4092,60.55,1.61
138,Katsuura,100,JP,1669580977,67,35.1333,140.3,59.5,5.99
139,Pervomayskoye,100,RU,1669580979,77,43.919,46.7102,44.11,7.87
140,Mandalgovi,100,MN,1669580980,86,45.7625,106.2708,-9.69,24.72
141,Dingle,38,PH,1669580982,89,10.9995,122.6711,74.7,6.78
142,Suez,61,EG,1669580983,55,29.9737,32.5263,62.53,5.59
143,Chui,5,UY,1669580985,68,-33.6971,-53.4616,75.0,12.41
144,Fairbanks,100,US,1669580764,86,64.8378,-147.7164,9.61,0.0
145,Avera,5,US,1669580987,52,33.194,-82.5271,74.71,17.31
146,Motygino,100,RU,1669580988,96,58.1831,94.7592,-17.12,8.08
147,Pangnirtung,100,CA,1669580990,74,66.1451,-65.7125,4.08,4.25
148,Georgiyevka,75,KZ,1669580991,68,43.0369,74.7114,19.44,4.47
149,Laguna,0,US,1669580992,45,38.421,-121.4238,67.17,5.75
150,Vaini,75,TO,1669580994,83,-21.2,-175.2,82.56,4.61
151,Taihecun,96,CN,1669580995,91,45.8,130.85,10.09,0.81
152,Kapaa,0,US,1669580997,82,22.0752,-159.319,76.98,4.61
153,Oodweyne,64,SO,1669580998,43,9.4092,45.064,67.1,9.69
154,Akdepe,100,TM,1669581000,38,42.0551,59.3788,33.89,11.27
155,Truckee,37,US,1669580924,38,39.328,-120.1833,51.35,4.0
156,Magadan,100,RU,1669581002,97,59.5667,150.8,9.45,14.83
157,Flin Flon,100,CA,1669581003,86,54.7682,-101.865,24.64,6.91
158,Dawei,62,MM,1669581005,94,14.0833,98.2,74.64,3.06
159,Arrondissement de Bastia,0,FR,1669581006,72,42.6667,9.3333,53.29,4.61
160,Venado Tuerto,2,AR,1669581008,14,-33.7456,-61.9688,100.78,15.52
161,Hakui,96,JP,1669581009,78,36.8833,136.7833,47.68,5.79
162,Fereydūnkenār,75,IR,1669581010,94,36.6864,52.5225,57.42,0.0
163,Repalle,9,IN,1669581012,89,16.0167,80.85,71.08,1.63
164,Lata,86,PT,1669581013,89,40.1629,-8.3327,54.81,7.11
165,Port Hedland,80,AU,1669581015,94,-20.3167,118.5667,77.05,5.75
166,Carnarvon,0,AU,1669581016,75,-24.8667,113.6333,69.78,16.87
167,Bontang,97,ID,1669581017,85,0.1333,117.5,77.68,3.87
168,Lakes Entrance,100,AU,1669581019,70,-37.8811,147.981,54.16,4.99
169,Dikson,100,RU,1669581020,98,73.5069,80.5464,11.8,3.74
170,Nyurba,56,RU,1669581022,96,63.2842,118.3319,-24.83,7.02
171,Gingoog,71,PH,1669581023,91,8.8243,125.1042,75.63,1.28
172,Lüderitz,11,NA,1669581025,90,-26.6481,15.1594,60.51,1.41
173,Chulym,16,RU,1669581027,97,55.0997,80.9572,-15.7,4.81
174,Leningradskiy,32,RU,1669580961,88,69.3833,178.4167,-13.2,6.26
175,Port Macquarie,53,AU,1669581030,76,-31.4333,152.9167,69.89,9.91
176,Campos Belos,51,BR,1669581031,91,-13.0367,-46.7717,72.37,3.44
177,Nola,9,IT,1669581032,82,40.922,14.5329,55.26,4.59
178,Padang,100,ID,1669581034,83,-0.9492,100.3543,75.92,3.38
179,Santa Cruz del Sur,0,CU,1669581036,67,20.7147,-77.9956,82.18,5.5
180,Uthal,0,PK,1669581037,60,25.8072,66.6219,71.85,2.55
181,Séguéla,51,CI,1669581039,31,7.9611,-6.6731,77.95,2.48
182,Xining,5,CN,1669581040,65,36.6167,101.7667,24.3,5.59
183,Sulangan,98,PH,1669581042,77,11.1373,123.7228,82.44,14.65
184,Tilichiki,94,RU,1669581043,88,60.4667,166.1,18.32,9.73
185,Arrondissement de Morlaix,75,FR,1669581045,91,48.5833,-4.0,51.06,9.22
186,Apastovo,93,RU,1669581047,98,55.2029,48.5109,9.14,5.26
187,Sarab,15,IR,1669581048,70,38.6066,44.9883,43.97,1.61
188,Oddur,94,SO,1669581050,62,4.1213,43.8894,75.27,11.25
189,Bengkulu,100,ID,1669581051,88,-3.8004,102.2655,75.7,2.64
190,Aswān,100,EG,1669581052,32,24.0934,32.907,71.44,5.88
191,Mackenzie,0,CA,1669581054,58,55.2999,-123.1698,21.42,8.05
192,Panzhihua,0,CN,1669581055,72,26.5851,101.7128,48.54,1.83
193,Vostok,86,RU,1669581057,96,46.4856,135.8833,4.08,3.89
194,Mazyr,100,BY,1669580867,98,52.0495,29.2456,28.24,5.08
195,Pisco,100,PE,1669581059,73,-13.7,-76.2167,71.65,9.22
196,Barreirinhas,100,BR,1669581061,72,-2.7469,-42.8264,80.56,7.52
197,Saskylakh,98,RU,1669581062,99,71.9167,114.0833,-14.73,4.45
198,Ol'ga,100,RU,1669581063,60,43.7444,135.2892,27.57,3.69
199,Hofn,100,IS,1669581065,71,64.2539,-15.2082,41.72,4.68
200,Catuday,6,PH,1669581067,74,16.2923,119.8062,76.75,9.82
201,Constitución,14,CL,1669581056,78,-35.3333,-72.4167,63.82,7.16
202,Dunedin,23,NZ,1669581069,75,-45.8742,170.5036,53.8,1.99
203,General Cepeda,0,MX,1669581071,11,25.3833,-101.45,78.06,8.16
204,Dondo,100,MZ,1669581072,95,-19.6094,34.7431,80.11,4.63
205,Pestovo,100,RU,1669581074,95,58.5938,35.8024,16.36,6.11
206,Atuona,4,PF,1669581075,71,-9.8,-139.0333,77.76,14.45
207,Tal'menka,14,RU,1669581077,94,53.8183,83.5677,-19.62,2.64
208,Juegang,100,CN,1669581078,96,32.3174,121.1855,64.98,11.77
209,Kirakira,67,SB,1669581080,76,-10.4544,161.9205,83.12,5.44
210,Gayny,84,RU,1669581081,100,60.3071,54.3241,1.24,1.14
211,Schwedt,99,DE,1669581083,91,53.0596,14.2815,43.02,9.06
212,Los Llanos de Aridane,20,ES,1669581084,33,28.6585,-17.9182,68.13,10.36
213,Pecos,0,US,1669581050,41,31.4229,-103.4932,63.25,0.0
214,Kiryat Gat,100,IL,1669581087,100,31.61,34.7642,65.39,1.21
215,Pueblo,0,US,1669581088,48,38.2545,-104.6091,52.56,12.66
216,Mareeba,96,AU,1669581089,95,-17.0,145.4333,74.44,0.27
217,Usinsk,100,RU,1669581091,97,65.9939,57.5281,-2.97,12.41
218,Sitka,0,US,1669580900,75,57.0531,-135.33,35.49,0.0
219,Vao,100,NC,1669581093,78,-22.6667,167.4833,75.65,17.34
220,Baykit,100,RU,1669581095,97,61.67,96.37,-12.39,4.07
221,Salinas,0,US,1669581009,34,36.6777,-121.6555,68.72,6.91
222,Wajir,100,KE,1669581097,71,1.7471,40.0573,77.88,14.74
223,Jinka,92,ET,1669581099,54,5.65,36.65,68.58,2.8
224,Salinópolis,96,BR,1669581100,76,-0.6136,-47.3561,81.81,12.82
225,Camacha,40,PT,1669581101,77,33.0833,-16.3333,65.62,10.36
226,Orda,75,RU,1669581103,98,57.1951,56.9091,3.96,2.93
227,Najrān,52,SA,1669580921,46,17.4924,44.1277,63.25,2.01
228,Paamiut,100,GL,1669581105,88,61.994,-49.6678,28.72,16.89
229,Upington,0,ZA,1669581107,19,-28.4478,21.2561,79.18,4.61
230,Talnakh,100,RU,1669581108,98,69.4865,88.3972,1.2,10.16
231,Verkhoyansk,100,RU,1669581109,96,67.5447,133.385,-30.51,1.48
232,Angoche,71,MZ,1669581111,80,-16.2325,39.9086,78.3,13.18
233,Tevaitoa,39,PF,1669581112,76,-16.7833,-151.5,78.69,13.96
234,Cangzhou,100,CN,1669580897,85,38.3167,116.8667,39.45,8.39
235,Batagay,97,RU,1669581115,98,67.6333,134.6333,-32.85,2.06
236,Shache,0,CN,1669580904,25,38.4167,77.2406,38.19,9.55
237,Griffith,100,US,1669581117,86,41.5284,-87.4237,46.26,20.71
238,Dembī Dolo,100,ET,1669581119,86,8.5333,34.8,59.0,4.23
239,Zhigalovo,100,RU,1669581120,94,54.8097,105.1578,-14.19,4.0
240,Khatanga,100,RU,1669581121,100,71.9667,102.5,-26.21,2.08
241,Panipat,0,IN,1669581123,28,29.3889,76.9681,59.79,2.77
242,Skibotn,99,NO,1669581124,91,69.3913,20.2679,32.59,14.5
243,Varzob,8,TJ,1669581126,49,38.7737,68.8178,47.93,10.33
244,Lufilufi,8,WS,1669581127,76,-13.8745,-171.5986,85.78,17.83
245,Coyhaique,0,CL,1669581129,29,-45.5752,-72.0662,81.21,12.66
246,Nizwá,55,OM,1669581130,37,22.9333,57.5333,71.01,4.29
247,Rawson,74,AR,1669581059,57,-43.3002,-65.1023,71.35,13.42
248,Houston,0,US,1669580925,53,29.7633,-95.3633,76.05,11.5
249,Kismayo,100,SO,1669581134,80,-0.3582,42.5454,78.64,7.56
250,Monte Patria,0,CL,1669581135,41,-30.6919,-70.9467,81.77,9.15
251,Trojes,76,AL,1669581137,88,41.756,19.962,44.56,8.32
252,Estelí,93,NI,1669581138,78,13.0919,-86.3538,82.15,2.06
253,Parrita,93,CR,1669581140,85,9.5201,-84.3225,79.63,6.53
254,Lázaro Cárdenas,0,MX,1669581058,62,17.9583,-102.2,83.93,9.15
255,Vaitape,21,PF,1669581142,74,-16.5167,-151.75,79.11,12.48
256,Cherskiy,100,RU,1669581144,93,68.75,161.3,-19.03,3.15
257,Iqaluit,100,CA,1669581013,66,63.7506,-68.5145,11.93,13.8
258,Lifford,73,IE,1669581147,86,54.8319,-7.4836,46.31,11.7
259,Ponta Delgada,40,PT,1669581148,82,37.7333,-25.6667,64.51,17.27
260,Agirish,64,RU,1669581149,94,61.9247,63.0231,-3.03,3.69
261,Cap Malheureux,5,MU,1669581151,73,-19.9842,57.6142,71.47,3.0
262,Pogar,100,RU,1669581152,99,52.554,33.2591,32.32,7.05
263,Haines Junction,100,CA,1669581153,62,60.7522,-137.5108,15.75,2.3
264,Sørland,99,NO,1669581155,71,67.667,12.6934,44.46,11.54
265,Lompoc,0,US,1669581156,54,34.6391,-120.4579,76.69,10.36
266,Severo-Kuril'sk,84,RU,1669581157,94,50.6789,156.125,33.4,28.07
267,Gibsons,4,CA,1669581105,74,49.3997,-123.5027,47.75,3.0
268,Wilmington,40,US,1669581084,78,34.2257,-77.9447,76.91,18.41
269,Cochrane,100,CA,1669581071,87,51.1834,-114.4687,27.21,14.97
270,Weligama,95,LK,1669581163,89,5.9667,80.4167,74.71,3.56
271,Manacapuru,100,BR,1669581164,62,-3.2997,-60.6206,85.37,1.23
272,Muli,99,MV,1669581165,74,2.9167,73.5667,80.37,4.65
273,Cootamundra,12,AU,1669581167,70,-34.65,148.0333,56.95,7.31
274,Cabedelo,23,BR,1669581168,76,-6.9811,-34.8339,83.07,12.73
275,Villazón,54,BO,1669581170,22,-22.0866,-65.5942,61.39,22.66
276,Inyonga,99,TZ,1669581171,78,-6.7167,32.0667,68.41,4.38
277,Ondjiva,80,AO,1669581172,40,-17.0667,15.7333,81.57,8.21
278,Tonj,47,SS,1669581174,36,7.2737,28.6822,79.14,4.72
279,Manokwari,100,ID,1669581175,78,-0.8667,134.0833,77.86,4.0
280,Hervey Bay,100,AU,1669581176,72,-25.2986,152.8535,76.68,15.32
281,Maināguri,0,IN,1669581178,74,26.5667,88.8167,62.01,3.47
282,Banes,7,CU,1669581179,67,20.9625,-75.7186,81.7,12.59
283,Nishihara,75,JP,1669581181,86,26.1842,127.7558,75.25,11.5
284,La Ronge,100,CA,1669581182,80,55.1001,-105.2842,25.05,10.36
285,Hilo,0,US,1669581183,76,19.7297,-155.09,80.26,6.91
286,Mount Darwin,100,ZW,1669581185,54,-16.7725,31.5838,74.89,2.64
287,Zhangjiakou,76,CN,1669581186,58,40.81,114.8794,33.15,5.44
288,Murray Bridge,21,AU,1669581188,67,-35.1167,139.2667,54.12,10.56
289,Achit,52,RU,1669581189,98,56.7985,57.8994,6.01,2.55
290,Taoudenni,83,ML,1669581191,14,22.6783,-3.9836,73.24,19.33
291,Berlevåg,0,NO,1669581192,80,70.8578,29.0864,31.8,10.36
292,Beyneu,100,KZ,1669581194,59,45.3167,55.2,34.52,17.45
293,Philadelphia,100,US,1669581149,93,39.9523,-75.1638,54.9,13.8
294,Punta de Piedra,100,VE,1669581196,95,7.6176,-71.4916,77.65,2.55
295,Rubiataba,31,BR,1669581076,77,-15.1644,-49.8033,76.44,3.94
296,Vanimo,91,PG,1669581199,88,-2.6741,141.3028,77.58,3.85
297,Pachino,56,IT,1669581200,78,36.7186,15.0907,58.17,33.2
298,Salta,0,AR,1669580962,17,-24.7859,-65.4117,95.58,8.05
299,Ahipara,100,NZ,1669581202,59,-35.1667,173.1667,61.21,10.42
300,Saldanha,24,ZA,1669581204,75,-33.0117,17.9442,69.85,15.59
301,Novyy Urgal,97,RU,1669581205,98,51.0736,132.5642,4.39,0.74
302,Chicama,52,PE,1669581207,65,-7.8447,-79.1469,68.54,9.71
303,Deputatsky,75,RU,1669581208,93,69.3,139.9,-33.7,3.2
304,Sankheda,0,IN,1669581209,37,22.1667,73.5833,66.67,5.17
305,Baruun-Urt,100,MN,1669581211,93,46.6806,113.2792,0.34,13.89
306,Suwannaphum,6,TH,1669581212,83,15.6035,103.8021,75.69,4.5
307,Palpa,52,PE,1669581214,51,-14.5336,-75.1856,79.65,13.82
308,Marquette,100,US,1669581215,85,46.5333,-87.6335,35.67,10.89
309,Nouakchott,0,MR,1669580919,53,18.0858,-15.9785,78.73,9.71
310,Alice Springs,6,AU,1669581218,82,-23.7,133.8833,65.75,0.0
311,Nome,100,US,1669581219,68,64.5011,-165.4064,15.87,0.0
312,Nacogdoches,0,US,1669581220,58,31.6002,-94.6335,68.58,8.05
313,San Cristobal,100,VE,1669581222,94,7.7669,-72.225,73.58,1.52
314,Tautira,11,PF,1669581223,74,-17.7333,-149.15,78.01,10.42
315,Brønnøysund,0,NO,1669581225,61,65.4625,12.1997,44.6,18.41
316,Viedma,82,AR,1669581227,45,-40.8135,-62.9967,81.28,17.18
317,Yeppoon,100,AU,1669581228,70,-23.1333,150.7333,73.18,6.69
318,Broken Hill,13,AU,1669581230,64,-31.95,141.4333,56.95,15.41
319,Bariloche,20,AR,1669581031,19,-41.1456,-71.3082,89.35,11.5
320,Chu,44,KZ,1669581232,38,43.5983,73.7614,23.11,7.16
321,Henties Bay,81,NA,1669581233,80,-22.116,14.2845,59.5,3.91
322,Sistranda,100,NO,1669581235,78,63.7256,8.834,44.56,7.56
323,Nioro,69,GM,1669581236,14,13.35,-15.75,78.91,4.41
324,Pathein,92,MM,1669581238,95,16.7833,94.7333,74.03,1.88
325,Nova Gradiška,99,HR,1669581239,86,45.255,17.3831,40.89,3.11
326,Coihueco,0,CL,1669581241,45,-36.6167,-71.8333,84.94,10.36
327,Témiscaming,100,CA,1669581242,87,46.7212,-79.0971,38.75,4.61
328,Malinyi,4,TZ,1669581243,64,-8.9333,36.1333,76.48,4.18
329,Torbay,100,CA,1669581245,96,47.6666,-52.7314,41.58,16.11
330,Bom Jesus da Lapa,96,BR,1669581246,88,-13.255,-43.4181,73.87,3.69
331,Bathsheba,40,BB,1669581248,65,13.2167,-59.5167,84.81,23.02
332,Akhtubinsk,55,RU,1669581249,60,48.2795,46.1722,31.21,9.44
333,Margate,100,GB,1669581250,97,51.3813,1.3862,51.31,1.99
334,Zvenigorod,100,RU,1669581252,94,55.7333,36.8475,25.18,8.32
335,Aksu,0,CN,1669581253,35,41.1231,80.2644,27.32,7.58
336,Qaqortoq,96,GL,1669581254,90,60.7167,-46.0333,25.09,8.7
337,Alwaye,100,IN,1669581256,100,10.1167,76.35,75.15,4.61
338,Tahe,67,CN,1669581257,100,52.3333,124.7333,-11.22,3.18
339,Colares,40,PT,1669581259,90,38.7992,-9.4469,61.75,14.0
340,Makkah al Mukarramah,0,SA,1669581260,67,21.4267,39.8261,77.27,3.76
341,Lebu,0,CL,1669581261,66,-37.6167,-73.65,63.93,10.54
342,Muroto-misakicho,100,JP,1669581263,63,33.2833,134.15,62.91,8.84
343,Kostino,68,RU,1669581264,98,58.9097,53.2691,5.43,1.25
344,Tiarei,4,PF,1669581266,74,-17.5333,-149.3333,84.22,11.74
345,Asău,100,RO,1669581267,99,46.4333,26.4,34.72,2.62
346,Kita,100,ML,1669581269,15,13.0349,-9.4895,77.94,4.12
347,Ponta do Sol,1,PT,1669581270,75,32.6667,-17.1,70.0,5.06
348,Esperance,99,AU,1669581271,66,-33.8667,121.9,58.03,7.94
349,Byron Bay,81,AU,1669581273,85,-28.65,153.6167,76.71,9.44
350,Alyangula,100,AU,1669581274,78,-13.8483,136.4192,81.9,5.73
351,Takoradze,21,GH,1669581200,83,4.8845,-1.7554,79.29,9.84
352,Neturhāt,0,IN,1669581277,55,23.4833,84.2667,49.91,2.1
353,Osa,64,RU,1669581027,98,57.2829,55.4567,3.85,2.86
354,Conde,20,BR,1669581279,65,-7.2597,-34.9075,81.86,9.22
355,Clyde River,0,CA,1669581282,76,70.4692,-68.5914,-23.57,5.75
356,Khasan,100,RU,1669581283,73,42.4308,130.6434,31.89,4.14
